haskell-typed-process 0.2.11.1-16
haskell-typst 0.3.2.1-37
haskell-typst-symbols 0.1.4-2
haskell-unicode-collation 0.1.3.6-13
haskell-unicode-data 0.4.0.1-34
haskell-unicode-transforms 0.4.0.1-75
haskell-uniplate 1.6.13-224
haskell-unix-compat 0.7.1-21
haskell-unix-time 0.4.13-2
haskell-unliftio 0.2.25.0-11
haskell-unliftio-core 0.2.1.0-2
haskell-unordered-containers 0.2.20-19
haskell-utf8-string 1.0.2-151
haskell-uuid-types 1.0.5.1-17
haskell-vault 0.3.1.5-186
haskell-vector 0.13.1.0-33
haskell-vector-algorithms 0.9.0.2-6
haskell-vector-stream 0.1.0.1-2
haskell-void 0.7.3-204
haskell-wai 3.2.4-22
haskell-wai-app-static 3.1.9-19
haskell-wai-cors 0.2.7-358
haskell-wai-extra 3.1.15-10
haskell-wai-logger 2.4.0-451
haskell-warp 3.3.30-62
haskell-witherable 0.4.2-104
haskell-word8 0.1.3-23
haskell-x11 1.10.3-2
haskell-x11-xft 0.3.4-69
haskell-x509 1.7.7-60
haskell-x509-store 1.6.9-60
haskell-x509-system 1.6.7-63
haskell-x509-validation 1.6.12-65
haskell-xml 1.3.14-31
haskell-xml-conduit 1.9.1.3-57
haskell-xml-types 0.3.8-9
haskell-yaml 0.11.11.2-52
haskell-zip-archive 0.4.3.2-3
haskell-zlib 0.6.3.0-61
hdparm 9.65-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highlight 4.13-1
highway 1.2.0-1
hslua-cli 1.4.1-52
htop 3.3.0-3
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.385-1
hwloc 2.11.1-1
hyphen 2.8.8-6
i3-wm 4.23-4
i3blocks 1.5-4
i3lock 2.15-2
i3status 2.15-1
iana-etc 20240814-1
icu 75.1-1
ijs 0.35-6
imath 3.1.11-3
imlib2 1.12.3-1
iniparser 4.2.4-1
iproute2 6.10.0-2
iptables 1:1.8.10-2
iputils 20240117-1
ipython 8.27.0-1
iso-codes 4.16.0-1
iw 6.9-1
iwd 2.20-2
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-1
java-commons-lang 3.15.0-1
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-8
jre-openjdk 22.0.2.u9-1
json-c 0.17-2
json-glib 1.10.0-1
jsoncpp 1.9.5-3
jupyter-nbclient 0.10.0-3
jupyter-nbconvert 7.16.4-3
jupyter-nbformat 5.10.4-2
jupyter-notebook-shim 0.2.4-2
jupyter-server 2.14.2-1
jupyterlab 4.2.5-1
jupyterlab-pygments 0.3.0-2
kactivities-stats5 5.116.0-1
kactivities5 5.116.0-1
karchive 6.5.0-1
karchive5 5.116.0-1
kauth 6.5.0-1
kauth5 5.116.0-1
kbd 2.6.4-2
kbookmarks 6.5.0-1
kbookmarks5 5.116.0-1
kcmutils 6.5.0-1
kcmutils5 5.116.0-1
kcodecs 6.5.0-1
kcodecs5 5.116.0-1
kcolorscheme 6.5.0-1
kcompletion 6.5.0-1
kcompletion5 5.116.0-1
kconfig 6.5.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.5.0-1
kconfigwidgets5 5.116.0-1
kcoreaddons 6.5.0-1
kcoreaddons5 5.116.0-1
kcrash 6.5.0-1
kcrash5 5.116.0-1
kdbusaddons 6.5.0-1
kdbusaddons5 5.116.0-1
kdeclarative5 5.116.0-1
kdecoration 6.1.4-1
kded5 5.116.0-1
kdesu5 5.116.0-1
kdnssd 6.5.0-1
kdnssd5 5.116.0-1
kdoctools5 5.116.0-1
kdsoap-qt5 2.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.5.0-1
kfilemetadata5 5.116.0-2
kglobalaccel 6.5.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.5.0-1
kguiaddons5 5.116.0-1
kholidays5 1:5.116.0-1
ki18n 6.5.0-1
ki18n5 5.116.0-1
kiconthemes 6.5.0-1
kiconthemes5 5.116.0-1
kidletime 6.5.0-1
kidletime5 5.116.0-1
kio 6.5.0-1
kio-extras 24.08.0-1
kio5 5.116.0-1
kirigami 6.5.0-1
kirigami2 5.116.0-1
kitemmodels 6.5.0-1
kitemmodels5 5.116.0-1
kitemviews 6.5.0-1
kitemviews5 5.116.0-1
kitty 0.36.1-1
kitty-shell-integration 0.36.1-1
kitty-terminfo 0.36.1-1
kjobwidgets 6.5.0-1
kjobwidgets5 5.116.0-1
kmod 33-3
knewstuff 6.5.0-1
knewstuff5 5.116.0-1
knotifications 6.5.0-1
knotifications5 5.116.0-1
knotifyconfig5 5.116.0-1
kotlin 2.0.20-1
kpackage 6.5.0-1
kpackage5 5.116.0-1
kparts 6.5.0-1
kparts5 5.116.0-1
kpeople5 5.116.0-1
kpty5 5.116.0-1
kquickcharts5 5.115.0-1
krb5 1.21.3-1
krunner5 5.115.0-4
kservice 6.5.0-1
kservice5 5.116.0-1
ktexteditor5 5.116.0-1
ktextwidgets 6.5.0-1
ktextwidgets5 5.116.0-1
kuserfeedback 6.5.0-1
kwallet 6.5.0-1
kwallet5 5.116.0-1
kwayland5 5.116.0-1
kwidgetsaddons 6.5.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.5.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.5.0-1
